Date,Close,Open,High,Low,Vol.,Change
03-01-2005,2115.0,2080.0,2118.6,2080.0,70.51,1.66
04-01-2005,2103.75,2116.95,2120.15,2100.55,72.72,-0.53
05-01-2005,2032.2,2103.75,2105.1,1990.15,109.22,-3.4
06-01-2005,1998.35,2031.55,2035.65,1984.25,94.32,-1.67
07-01-2005,2015.5,1998.25,2021.45,1992.55,76.29,0.86
10-01-2005,1982.0,2016.75,2025.9,1974.8,75.66,-1.66
11-01-2005,1952.05,1982.7,1988.9,1947.35,70.27,-1.51
12-01-2005,1913.6,1953.6,1966.65,1900.85,85.04,-1.97
13-01-2005,1954.55,1922.5,1963.4,1916.95,80.9,2.14
14-01-2005,1931.1,1954.9,1961.4,1922.85,86.21,-1.2
17-01-2005,1932.9,1931.75,1944.55,1902.45,82.25,0.09
18-01-2005,1934.05,1933.05,1956.95,1925.35,91.87,0.06
19-01-2005,1926.65,1934.1,1945.65,1922.35,94.22,-0.38
20-01-2005,1925.3,1928.1,1940.95,1900.05,96.6,-0.07
24-01-2005,1909.0,1925.3,1932.75,1902.9,74.82,-0.85
25-01-2005,1931.85,1908.85,1934.25,1894.4,88.57,1.2
27-01-2005,1955.0,1931.9,1961.75,1929.0,135.72,1.2
28-01-2005,2008.3,1955.25,2014.25,1950.85,106.73,2.73
31-01-2005,2057.6,2008.45,2060.4,2006.35,137.98,2.45
01-02-2005,2059.85,2057.75,2072.5,2045.25,135.57,0.11
02-02-2005,2052.25,2062.15,2074.5,2045.5,89.99,-0.37
03-02-2005,2079.45,2052.35,2083.75,2052.35,78.1,1.33
04-02-2005,2077.95,2079.4,2099.2,2060.8,79.16,-0.07
07-02-2005,2055.1,2097.45,2098.0,2049.85,62.13,-1.1
08-02-2005,2055.15,2055.0,2065.0,2043.6,74.19,0.0
09-02-2005,2070.0,2055.2,2077.7,2055.2,68.24,0.72
10-02-2005,2063.35,2070.1,2075.1,2049.85,69.89,-0.32
11-02-2005,2082.05,2063.35,2084.5,2063.35,84.99,0.91
14-02-2005,2098.25,2083.05,2110.15,2083.05,86.45,0.78
15-02-2005,2089.95,2098.25,2101.6,2081.2,60.94,-0.4
16-02-2005,2068.8,2090.0,2103.4,2059.45,68.53,-1.01
17-02-2005,2061.9,2069.1,2069.15,2045.85,63.85,-0.33
18-02-2005,2055.55,2062.45,2076.7,2048.85,63.67,-0.31
21-02-2005,2043.2,2055.15,2065.75,2039.9,46.92,-0.6
22-02-2005,2058.4,2043.4,2061.65,2036.6,51.9,0.74
23-02-2005,2057.1,2058.7,2065.15,2051.35,52.49,-0.06
24-02-2005,2055.3,2057.75,2070.5,2052.4,76.5,-0.09
25-02-2005,2060.9,2057.3,2081.85,2051.2,66.31,0.27
28-02-2005,2103.25,2061.2,2106.2,2047.7,103.14,2.05
01-03-2005,2084.4,2103.1,2115.1,2073.8,71.29,-0.9
02-03-2005,2093.25,2084.6,2096.35,2080.55,78.6,0.42
03-03-2005,2128.85,2093.4,2132.75,2093.35,84.3,1.7
04-03-2005,2148.15,2129.1,2152.75,2129.1,78.28,0.91
07-03-2005,2160.1,2148.25,2166.85,2143.05,86.79,0.56
08-03-2005,2168.95,2160.65,2173.85,2154.0,78.38,0.41
09-03-2005,2160.8,2169.1,2183.45,2141.35,81.07,-0.38
10-03-2005,2167.4,2160.85,2170.2,2145.75,61.89,0.31
11-03-2005,2154.0,2167.7,2182.1,2148.7,70.47,-0.62
14-03-2005,2146.35,2153.8,2164.15,2140.9,73.88,-0.36
15-03-2005,2128.95,2146.55,2151.35,2122.0,60.05,-0.81
16-03-2005,2125.55,2129.35,2158.9,2121.1,75.51,-0.16
17-03-2005,2098.5,2123.95,2126.55,2090.45,62.05,-1.27
18-03-2005,2109.15,2097.75,2112.25,2077.2,83.95,0.51
21-03-2005,2096.6,2117.95,2124.8,2089.35,62.13,-0.6
22-03-2005,2061.6,2096.75,2099.0,2056.5,57.63,-1.67
23-03-2005,2026.4,2061.2,2067.45,2019.85,91.45,-1.71
24-03-2005,2015.4,2026.6,2042.45,2007.35,70.93,-0.54
28-03-2005,2029.45,2015.75,2046.85,2015.25,51.85,0.7
